Designator,Mid X,Mid Y,Rotation,Layer
C1,47.75,33.75,90.0,top
C10,54.75,30.0,0.0,top
C11,54.5,31.5,0.0,top
C12,47.5,24.5,180.0,top
C13,21.75,37.75,270.0,top
C14,44.5,28.25,90.0,top
C15,40.75,21.0,180.0,top
C16,56.5,40.5,270.0,top
C17,47.25,38.75,270.0,top
C18,48.75,38.75,270.0,top
C19,44.75,38.75,270.0,top
C2,49.25,34.5,90.0,top
C20,35.75,3.5,270.0,top
C21,61.25,6.0,270.0,top
C22,77.25,7.5,90.0,top
C23,67.5,20.25,90.0,top
C24,63.725,16.0,180.0,top
C25,61.25,33.75,90.0,top
C26,70.0,40.5,270.0,top
C27,64.25,41.0,90.0,top
C28,80.0,41.0,90.0,top
C3,32.75,9.5,0.0,top
C4,29.75,9.75,180.0,top
C5,24.75,18.25,0.0,top
C6,24.75,19.75,0.0,top
C7,21.75,41.25,90.0,top
C8,20.25,40.75,90.0,top
C9,54.25,26.5,0.0,top
D1,32.75,12.75,0.0,top
D10,73.5,33.0,270.0,top
D11,67.75,35.0,0.0,top
D2,53.0,22.0,180.0,top
D3,4.5,38.5,0.0,top
D4,5.0,41.0,180.0,top
D5,13.5,38.5,0.0,top
D6,14.0,41.0,180.0,top
D7,58.25,7.0,270.0,top
D8,66.75,25.5,90.0,top
D9,77.25,33.0,270.0,top
J1,29.0,4.91,0.0,top
J2,6.25,8.239392,0.0,top
J3,45.96,11.225,0.0,top
J4,16.25,8.25,0.0,top
K1,5.5,26.5,270.0,top
K2,15.0,26.5,270.0,top
L1,46.0,41.5,180.0,top
L2,75.25,21.75,270.0,top
L3,67.5,41.0,270.0,top
Q1,35.5,21.5,270.0,top
Q2,8.5,39.5,90.0,top
Q3,52.0,41.5,0.0,top
Q4,52.0,38.5,180.0,top
Q5,17.5,39.5,90.0,top
R1,38.0,22.0,270.0,top
R10,24.25,22.75,180.0,top
R11,23.0,7.5,90.0,top
R12,35.0,7.5,90.0,top
R13,20.25,38.75,270.0,top
R14,43.0,30.25,90.0,top
R15,44.5,31.0,90.0,top
R16,45.0,21.0,180.0,top
R17,54.25,25.5,0.0,top
R18,45.0,22.5,180.0,top
R19,45.0,23.5,180.0,top
R2,44.75,33.75,270.0,top
R20,45.0,24.5,180.0,top
R21,3.75,42.5,0.0,top
R22,9.5,42.5,180.0,top
R23,7.0,42.5,180.0,top
R24,36.5,15.25,90.0,top
R25,54.5,42.0,270.0,top
R26,56.5,15.25,270.0,top
R27,12.75,42.5,0.0,top
R28,54.5,40.0,270.0,top
R29,18.5,42.5,180.0,top
R3,50.75,34.0,270.0,top
R30,16.0,42.5,180.0,top
R31,63.0,8.25,270.0,top
R32,70.25,9.5,180.0,top
R33,66.25,9.5,0.0,top
R34,68.25,9.5,180.0,top
R35,63.5,12.5,180.0,top
R36,63.0,5.75,270.0,top
R37,65.75,19.25,270.0,top
R38,62.5,26.0,0.0,top
R39,67.0,16.0,180.0,top
R4,51.75,34.0,270.0,top
R40,60.75,16.0,180.0,top
R41,71.5,41.0,270.0,top
R42,70.5,35.0,180.0,top
R43,73.5,41.0,90.0,top
R5,45.75,33.75,270.0,top
R6,52.75,34.0,270.0,top
R7,46.75,33.75,270.0,top
R8,54.5,32.5,180.0,top
R9,54.5,33.5,180.0,top
SW1,30.25,21.25,0.0,top
U1,26.25,13.75,90.0,top
U2,32.5,33.75,0.0,top
U3,49.5,28.5,270.0,top
U4,68.75,5.75,270.0,top
U5,62.0,21.0,180.0,top
U6,76.75,41.0,0.0,top
